,OCC_TITLE,OCC_GROUP
393,Motorcycle Mechanics,detailed
394,Tire Repairers and Changers,detailed
395,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed
396,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed
397,Home Appliance Repairers,detailed
398,Industrial Machinery Mechanics,detailed
399,"Maintenance Workers, Machinery",detailed
400,Electrical Power-Line Installers and Repairers,detailed
401,Telecommunications Line Installers and Repairers,detailed
402,Medical Equipment Repairers,detailed
403,"Precision Instrument and Equipment Repairers, All Other",detailed
404,"Maintenance and Repair Workers, General",detailed
405,Riggers,detailed
406,"Helpers--Installation, Maintenance, and Repair Workers",detailed
407,"Installation, Maintenance, and Repair Workers, All Other",detailed
409,First-Line Supervisors of Production and Operating Workers,detailed
410,Team Assemblers,detailed
411,"Assemblers and Fabricators, All Other",detailed
412,Bakers,detailed
413,Butchers and Meat Cutters,detailed
414,Food Batchmakers,detailed
415,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed
416,Machinists,detailed
417,"Welders, Cutters, Solderers, and Brazers",detailed
418,Printing Press Operators,detailed
419,Print Binding and Finishing Workers,detailed
420,Laundry and Dry-Cleaning Workers,detailed
421,Cabinetmakers and Bench Carpenters,detailed
422,Power Plant Operators,detailed
423,Water and Wastewater Treatment Plant and System Operators,detailed
424,Gas Plant Operators,detailed
425,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed
426,"Plant and System Operators, All Other",detailed
427,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed
428,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed
429,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed
430,Dental Laboratory Technicians,detailed
431,Packaging and Filling Machine Operators and Tenders,detailed
432,Photographic Process Workers and Processing Machine Operators,detailed
433,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed
434,Helpers--Production Workers,detailed
435,"Production Workers, All Other",detailed
437,Aircraft Cargo Handling Supervisors,detailed
438,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",detailed
439,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,detailed
440,"Airline Pilots, Copilots, and Flight Engineers",detailed
441,Commercial Pilots,detailed
442,Air Traffic Controllers,detailed
443,Airfield Operations Specialists,detailed
444,Flight Attendants,detailed
445,"Bus Drivers, Transit and Intercity",detailed
446,"Bus Drivers, School or Special Client",detailed
447,Driver/Sales Workers,detailed
